Topic,Question (Front),Answer (Back)
Mathematics,What is the Pythagorean theorem?,a² + b² = c² (In a right triangle the square of the hypotenuse equals the sum of squares of the other two sides)
Mathematics,What is the quadratic formula?,x = (-b ± √(b²-4ac)) / 2a
History,Who was the first US President?,George Washington
History,When was the Declaration of Independence signed?,July 4 1776
Science,What is photosynthesis?,The process by which plants convert light energy into chemical energy
Science,What is the chemical formula for water?,H2O
Geography,What is the capital of France?,Paris
Geography,What is the largest ocean on Earth?,Pacific Ocean
Literature,Who wrote Romeo and Juliet?,William Shakespeare
Literature,Who wrote 1984?,George Orwell
Biology,What is the powerhouse of the cell?,Mitochondria
Biology,What is DNA?,Deoxyribonucleic acid - the molecule that carries genetic information
Chemistry,What is the atomic number of Carbon?,6
Chemistry,What is the pH of pure water?,7 (neutral)
Physics,What is Newton's First Law?,An object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force
Physics,What is the speed of light?,Approximately 299792458 meters per second (or 3.0 × 10⁸ m/s)
Computer Science,What does CPU stand for?,Central Processing Unit
Computer Science,What is an algorithm?,A step-by-step procedure for solving a problem or accomplishing a task
Programming,What is a variable?,A container for storing data values
Programming,What does HTML stand for?,HyperText Markup Language
